Annexure II-  Nifty 50 Index : March 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1154180729,60153.86,0.57,1.95,0.36,1.55,10.49,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890,87060.57,0.82,2.06,0.52,1.55,10.62,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,66660.63,0.63,0.56,0.13,1.19,9.31,0.02
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,105588.33,1,0.6,0.15,1.4,7.38,0.02
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6193408822,314046.03,2.96,1.11,0.41,1.25,8.51,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2792576080,87140.06,0.82,0.8,0.17,1.81,-0.3,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1239757304,233295.42,2.2,1.14,0.36,1.49,4.87,0.01
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1596662097,108913.38,1.03,1.11,0.39,1.74,7.21,0.02
9,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,107624.35,1.01,1.84,0.43,1.61,22.36,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,28510526595,463766.56,4.37,0.94,0.32,1.34,10.39,0.02
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1615229882,80913.83,0.76,0.49,0.08,1.33,2.47,0.02
12,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,90199.9,0.85,1.36,0.4,1.48,7.81,0.03
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,834455365,69607.75,0.66,0.49,0.11,1.37,2.48,0.02
14,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,274164080,73294.46,0.69,0.97,0.27,1.53,12.03,0.02
15,ZOMATO,Eternal Ltd.,E-RETAIL/ E-COMMERCE,9650350647,139748.98,1.32,0.95,0.1,2.77,-9.19,0.02
16,GRASIM,Grasim Industries Ltd.,CEMENT,1360876778,99951.89,0.94,1,0.36,1.07,13.2,0.02
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,168457.71,1.59,0.69,0.17,1.38,1.11,0.02
18,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,7651920290,1387001.04,13.07,0.89,0.38,0.91,5.53,0.02
19,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21528932870,73210.67,0.69,0.72,0.18,1.25,12.69,0.02
20,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,400021672,48196.27,0.45,0.69,0.15,1.72,1.14,0.02
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247226523,98538.9,0.93,1.11,0.28,1.44,7.58,0.02
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262,199930.38,1.88,0.26,0.03,1.08,3.13,0.02
23,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,14131839426,949134.81,8.95,0.99,0.47,1.01,11.98,0.02
24,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12514119782,380387.81,3.59,0.66,0.25,0.9,3.73,0.02
25,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7790544720,42679.65,0.4,0.63,0.21,6.42,-34.37,0.1
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,20763668865,563881.77,5.31,0.76,0.2,1.66,-6.94,0.02
27,JSWSTEEL,JSW Steel Ltd.,STEEL,2445453966,100599.98,0.95,1.2,0.43,1.01,11.83,0.03
28,JIOFIN,Jio Financial Services Ltd.,NBFC,63531416230,74321.77,0.7,1.35,0.34,2.2,9.59,0.03
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9941114965,318384.33,3,0.88,0.23,1.42,14.1,0.01
30,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2750350030,408859.01,3.85,1.42,0.5,1.16,10.38,0.02
31,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6217644155,235587.38,2.22,1.32,0.32,1.67,3.12,0.02
32,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1572012870,150812.19,1.42,0.83,0.26,0.92,-3.55,0.02
33,NTPC,NTPC Ltd.,POWER,96966661340,169103.36,1.59,1.55,0.47,1.95,14.82,0.03
34,NESTLEIND,Nestle India Ltd.,CONSUMER FOOD,964157160,80482.94,0.76,0.42,0.09,1.23,2.79,0.03
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION,62901396030,95438.84,0.9,1.62,0.41,1.48,9.38,0.02
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER - TRANSMISSION,93006038190,131237.67,1.24,1.34,0.41,1.53,15.75,0.03
37,RELIANCE,Reliance Industries Ltd.,REFINERIES/MARKETING,1.35E+11,861581.36,8.12,1.16,0.56,1.43,6.25,0.01
38,SBILIFE,SBI Life Insurance Company Ltd.,LIFE INSURANCE,10021169710,69184.44,0.65,0.76,0.19,1.48,8.2,0.03
39,SHRIRAMFIN,Shriram Finance Ltd.,NBFC,3760767760,91565.93,0.86,1.64,0.41,1.83,6.27,0.02
40,SBIN,State Bank of India,PUBLIC SECTOR BANK,8924620034,295601.6,2.79,1.45,0.52,1.28,12.01,0.02
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970,186520.28,1.76,0.57,0.16,1.25,8.88,0.02
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3618087518,367304.24,3.46,0.66,0.19,1.05,3.53,0.02
43,TATACONSUM,Tata Consumer Products Ltd.,TEA &  COFFEE,989494148,65066.27,0.61,0.62,0.12,1.02,3.96,0.02
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,7362378430,140368.08,1.32,1.18,0.29,1.95,8.67,0.02
45,TATASTEEL,Tata Steel Ltd.,STEEL,12483527171,127196.03,1.2,1.34,0.46,1.48,12.42,0.02
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4894968560,89713.4,0.85,0.86,0.2,1.64,-4.68,0.03
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,126001.5,1.19,0.76,0.2,1.44,-0.45,0.02
48,TRENT,Trent Ltd.,SPECIALITY RETAIL,355487461,118022.67,1.11,1.08,0.16,2.01,9.76,0.02
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2946774100,133541.71,1.26,1.17,0.43,1.08,13.64,0.02
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,20943711336,74287,0.7,1.06,0.26,1.71,-5.55,0.02
,,,,,10610167,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Apr-2024 to 28-Mar-2025,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 03-Mar-2025 to 28-Mar-2025,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Mar-2025,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
