Annexure II-  Nifty 50 Index : September 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1154180729,65091.79,0.58,1.64,0.26,1.72,11.64,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890,103292.50,0.92,1.47,0.35,1.01,6.91,0.02
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,74646.89,0.66,0.76,0.19,0.84,-2.64,0.01
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,105975.63,0.94,0.75,0.21,1.09,-6.69,0.01
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6205359520,323162.63,2.87,1.06,0.37,1.03,8.27,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2792576080,95927.24,0.85,1.14,0.27,1.45,0.54,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,6222481865,265031.04,2.35,1.16,0.32,1.49,13.79,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1597813220,114206.57,1.01,1.18,0.38,0.99,4.85,0.02
9,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,144281.35,1.28,1.23,0.26,1.59,9.35,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,28510526595,510541.57,4.53,0.91,0.32,0.75,-0.55,0.02
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1615508148,84318.94,0.75,0.73,0.17,0.99,-5.42,0.02
12,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,88309.73,0.78,0.91,0.31,0.84,4.04,0.03
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,834613760,74343.29,0.66,0.68,0.17,1.32,-2.89,0.02
14,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,274277990,96128.64,0.85,1.12,0.34,1.23,14.79,0.01
15,ETERNAL,Eternal Ltd.,E-RETAIL/ E-COMMERCE,9650350647,226021.12,2.01,1.30,0.18,1.39,3.68,0.02
16,GRASIM,Grasim Industries Ltd.,CEMENT,1361034062,105043.63,0.93,1.12,0.44,0.72,-0.67,0.02
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,146338.87,1.30,1.07,0.29,1.21,-4.79,0.02
18,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,15360347948,1448428.51,12.87,0.92,0.45,0.52,-0.06,0.02
19,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21554475820,80945.43,0.72,0.80,0.23,1.13,-2.02,0.01
20,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247226523,110049.75,0.98,1.26,0.34,1.02,8.24,0.02
21,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262,222528.38,1.98,0.45,0.09,0.81,-5.47,0.01
22,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,14286352056,959257.48,8.52,0.89,0.45,0.63,-3.56,0.02
23,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12526662922,385806.24,3.43,0.53,0.18,0.85,-2.00,0.02
24,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,20771961015,517987.35,4.60,1.10,0.30,1.62,-1.89,0.02
25,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3865638350,121877.25,1.08,0.63,0.21,1.04,-0.91,0.02
26,JSWSTEEL,JSW Steel Ltd.,STEEL,2445453966,106746.57,0.95,1.15,0.38,1.05,11.31,0.03
27,JIOFIN,Jio Financial Services Ltd.,NBFC,63531416230,95820.71,0.85,1.58,0.42,0.88,-5.94,0.03
28,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9942962565,292236.09,2.60,0.98,0.29,0.90,1.65,0.01
29,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2751112006,428507.59,3.81,1.20,0.41,0.93,1.61,0.02
