Annexure II-  Nifty Next 50 Index : September 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,27109.78148,1.1991507,1.22271658,0.24259409,0.95964669,3.68673735,0.01
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,12012826420,30174.77101,1.3347248,1.57535365,0.15942441,2.21644925,14.14643722,0.03
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,16225962350,31348.02271,1.38662141,1.50974827,0.12886399,3.00813203,12.40831965,0.03
4,ADANIPOWER,Adani Power Ltd.,POWER,38569389410,56774.4894,2.51131381,1.15063327,0.0838943,5.75651,20.41122118,0.27
5,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,4943646956,35572.0352,1.57346273,1.10123137,0.26516972,1.01373025,1.19850852,0.02
6,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,65690.50435,2.90569713,0.64431478,0.07251056,1.18910814,-5.89200101,0.03
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,52877.62678,2.33894335,1.11916177,0.15998276,1.48526577,-4.09553641,0.03
8,BAJAJHFL,Bajaj Housing Finance Ltd.,HOUSING FINANCE,83323346190,10216.96257,0.45192831,1.01182237,0.16877167,0.88283092,-1.10571737,0.03
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,47595.6035,2.10530289,1.09118544,0.24667493,1.04849057,11.04239144,0.02
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,43385054880,65652.26256,2.90400557,1.11230321,0.28385916,1.2524869,10.20441272,0.02
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,32989.62332,1.45923455,0.89448579,0.23405916,0.97901721,-4.54204204,0.02
12,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,70453.92629,3.11639823,0.5227432,0.09398983,1.03484129,2.86744505,0.02
13,CGPOWER,CG Power and Industrial Solutions Ltd.,POWER EQUIPMENT,3149362018,50721.50277,2.24357122,1.3783387,0.22850696,1.60953179,6.71899755,0.02
14,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,41591.98279,1.8397439,1.24856592,0.26449679,1.49924183,19.14668208,0.02
15,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1682798064,67698.64729,2.99452359,1.38281939,0.2724866,1.50798929,13.38072781,0.02
16,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,45611.35984,2.01753356,1.77795314,0.50033409,1.24606065,-3.52479535,0.03
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,72067.49492,3.18777143,0.74961025,0.12491077,1.11397431,-7.20867651,0.02
18,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,47420.12351,2.09754086,1.28675363,0.31896602,1.28823588,1.86051887,0.02
19,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1023074343,46809.53778,2.07053273,0.52502451,0.0672981,1.3661075,-6.09206502,0.03
20,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,627206421,37762.54301,1.67035577,0.91031878,0.22039055,1.11733851,-1.54693235,0.02
21,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,89859.23194,3.97475578,1.35375106,0.27039249,1.27051407,9.55315515,0.02
22,HINDZINC,Hindustan Zinc Ltd.,ZINC,8450638000,20856.35391,0.92254198,1.3633974,0.24179542,2.06589589,15.07453787,0.02
23,HYUNDAI,Hyundai Motor India Ltd.,PASSENGER/UTILITY VEHICLES,8125411000,36748.37634,1.62549599,0.85644806,0.1246292,1.8444757,5.03983092,0.04
24,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4974405450,45485.51916,2.01196723,0.79781468,0.18846119,1.04951011,2.7288541,0.03
25,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS & RESORTS,1423432227,63091.00907,2.79071329,1.32638085,0.28867097,1.18357913,-5.02999539,0.02
26,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,141212383830,55812.41429,2.46875821,1.10514313,0.310201,0.97499218,9.63987703,0.02
27,IRFC,Indian Railway Finance Corporation Ltd.,FINANCIAL INSTITUTION,130685060000,22007.16473,0.97344595,1.40390944,0.25564623,1.16819869,4.57200914,0.02
28,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1296841200,50750.23748,2.24484224,1.59296859,0.36806384,1.4949889,-3.59325528,0.03
29,JSWENERGY,JSW Energy Ltd.,POWER,17477684510,28345.30585,1.25380182,1.20878633,0.17485541,1.27242504,8.68052001,0.03
30,JINDALSTEL,Jindal Steel Ltd.,STEEL,1020088097,39648.50159,1.75377763,1.22325374,0.27980115,1.61935576,12.47092409,0.03
31,LTIM,LTIMindtree Ltd.,COMPUTERS - SOFTWARE,296416766,47686.14171,2.10930767,1.1583763,0.26046732,1.56243592,0.46751729,0.03
32,LICI,Life Insurance Corporation of India,LIFE INSURANCE,63249977010,19930.92141,0.88160719,0.94086367,0.25027643,0.84246133,5.65628117,0.02
33,LODHA,Lodha Developers Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,9984534730,31821.59955,1.4075692,1.53495681,0.24046418,1.13941369,-4.73874025,0.02
34,MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,SHIP BUILDING & ALLIED SERVICES,2016900000,20921.57177,0.92542677,1.38893487,0.13383509,1.75793876,6.08505244,0.01
35,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,1017714032,45441.78112,2.01003256,0.54685921,0.14692377,0.96379142,-3.74717241,0.02
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,33001017600,59569.32455,2.63493814,1.82080912,0.43222224,1.10246414,8.04582565,0.02
37,PNB,Punjab National Bank,PUBLIC SECTOR BANK,22985886536,38796.00059,1.71606884,1.15380615,0.25991188,1.44054311,11.84575734,0.02
38,RECLTD,REC Ltd.,FINANCIAL INSTITUTION,26332240000,46440.59586,2.05421327,1.8832167,0.45931364,1.1188578,6.52857143,0.03
39,MOTHERSON,Samvardhana Motherson International Ltd.,AUTO ANCILLARIES,10554442601,46778.70089,2.06916872,1.6824055,0.37493223,2.0426843,13.9083558,0.02
40,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,39028.29002,1.72634373,0.88116815,0.27870392,1.13174875,-0.03415884,0.02
41,ENRIN,Siemens Energy India Ltd.,POWER,712241010,30276.56572,1.3392275,-,-,1.72541034,1.71560639,0.03
42,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712241010,27578.8196,1.21989773,0.810733896,0.077890204,1.49606067,2.13793779,0.02
43,SOLARINDS,Solar Industries India Ltd.,EXPLOSIVES,180980110,32373.28106,1.4319718,0.96233988,0.13255156,1.44320406,-3.39978253,0.03
44,TVSMOTOR,TVS Motor Company Ltd.,MOTOR CYCLES/SCOOTERS,475087114,80491.02494,3.56037059,1.2862462,0.35239552,1.20703546,4.94720137,0.02
45,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,65082.9863,2.8788247,1.32243188,0.41504648,0.94712378,3.87545102,0.02
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,37580.91884,1.66232196,0.57908375,0.1101788,0.89792803,1.21916962,0.02
47,UNITDSPR,United Spirits Ltd.,BREW/DISTILLERIES,1454701706,39003.62052,1.72525252,0.69595889,0.14280235,1.05702953,1.01449275,0.02
48,VBL,Varun Beverages Ltd.,BEVERAGES,6763922538,59946.36916,2.651616,0.88365943,0.1103149,1.5436995,-8.91922406,0.03
49,VEDL,Vedanta Ltd.,ALUMINIUM,3910388057,78799.40231,3.48554482,1.51270174,0.38448618,1.68044971,10.7333888,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,PHARMACEUTICALS,1006233990,24457.67327,1.08183963,0.85645156,0.21225754,1.35899518,0.08664186,0.02
,,,,,2260748.505,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Oct-2024 to 30-Sep-2025,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Sep-2025 to 30-Sep-2025,,,,,,,,,,,
,,,,,,,,,,,
*Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs. Impact Cost for Nifty Next 50 is the weightaged average impact cost for the month.,,,,,,,,,,,
,,,,,,,,,,,
*Last day of trading was 30-Sep-2025,,,,,,,,,,,
