Date,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%),Index Market Capitalisation (Rs. Crores)
2016-03-31,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1881915760.0,13003.1,0.47,0.82,0.36,1.58,15.75,0.03,
2016-03-31,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,11484723320.0,243457.99,8.78,0.82,0.26,1.47,12.38,0.03,
2016-03-31,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9166275325.0,69877.08,2.52,1.09,0.47,1.27,7.97,0.03,
2016-03-31,LT,Larsen & Toubro Ltd.,ENGINEERING,1862596078.0,99713.71,3.6,1.21,0.52,2.09,13.08,0.03,
2016-03-31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,901067068.0,35321.94,1.27,0.74,0.14,3.23,-15.69,0.03,
2016-03-31,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3105461920.0,55644.78,2.01,1.0,0.36,1.71,-1.42,0.02,
2016-03-31,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300.0,49395.29,1.78,0.87,0.31,2.28,14.82,0.02,
2016-03-31,NTPC,NTPC Ltd.,POWER,82454644000.0,31872.84,1.15,0.86,0.31,1.2,7.82,0.03,
2016-03-31,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600.0,38466.34,1.39,1.19,0.34,1.26,10.3,0.03,
2016-03-31,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480.0,30563.99,1.1,0.61,0.22,1.04,6.96,0.03,
2016-03-31,RELIANCE,Reliance Industries Ltd.,REFINERIES,32396422550.0,172689.78,6.23,1.13,0.47,1.24,8.13,0.03,
2016-03-31,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5947059180.0,47185.87,1.7,1.09,0.51,1.33,16.58,0.03,
2016-03-31,SBIN,State Bank of India,BANKS,7762777042.0,60316.78,2.18,1.47,0.48,3.17,22.36,0.03,
2016-03-31,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1970427941.0,134083.88,4.84,0.61,0.27,1.35,15.78,0.03,
2016-03-31,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774407204.0,74784.93,2.7,1.53,0.41,2.24,29.0,0.03,
2016-03-31,TATAPOWER,Tata Power Co. Ltd.,POWER,2704629398.0,11715.24,0.42,1.08,0.38,1.51,12.83,0.06,
2016-03-31,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712154390.0,21424.33,0.77,1.62,0.39,2.75,28.34,0.03,
2016-03-31,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4836576095.0,29403.29,1.06,0.65,0.13,2.23,14.29,0.04,
2016-03-31,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2744269050.0,32784.07,1.18,1.0,0.41,1.67,16.62,0.03,
2016-03-31,VEDL,Vedanta Ltd.,MINING,2964694239.0,9855.98,0.36,2.18,0.39,3.82,27.27,0.04,
2016-03-31,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4941137420.0,36244.48,1.31,0.61,0.24,1.04,8.46,0.02,
2016-03-31,YESBANK,Yes Bank Ltd.,BANKS,4199428360.0,28335.18,1.02,1.55,0.51,1.68,25.55,0.03,
2016-03-31,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960448720.0,21183.8,0.76,1.13,0.39,1.8,3.92,0.03,
2016-03-31,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2406666050.0,88805.98,3.2,0.92,0.19,1.71,-3.97,0.03,
2016-03-31,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,36004170560.0,12299.74,0.44,0.65,0.11,1.51,5.66,0.04,
2016-03-31,PNB,Punjab National Bank,BANKS,3927194980.0,6320.03,0.23,1.44,0.38,2.44,19.3,0.04,
2016-03-31,ITC,I T C Ltd.,CIGARETTES,8038258421.0,184699.08,6.66,0.83,0.3,2.59,11.03,0.02,
2016-03-31,ICICIBANK,ICICI Bank Ltd.,BANKS,11626111420.0,137565.96,4.96,1.49,0.55,2.95,24.52,0.04,
2016-03-31,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3103794842.0,18044.69,0.65,1.0,0.39,1.7,23.73,0.03,
2016-03-31,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790.0,39149.47,1.41,0.86,0.29,1.49,2.64,0.03,
2016-03-31,AXISBANK,Axis Bank Ltd.,BANKS,4761048342.0,74011.69,2.67,1.43,0.51,1.82,18.2,0.03,
2016-03-31,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200.0,33417.72,1.21,0.91,0.29,1.27,9.3,0.03,
2016-03-31,BANKBARODA,Bank of Baroda,BANKS,4608319196.0,13887.17,0.5,1.58,0.29,2.61,11.45,0.04,
2016-03-31,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000.0,10310.39,0.37,1.28,0.31,2.68,25.32,0.04,
2016-03-31,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480.0,23539.86,0.85,0.85,0.21,1.79,17.56,0.02,
2016-03-31,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510.0,47677.79,1.72,0.65,0.17,1.28,11.19,0.03,
2016-03-31,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000.0,18925.7,0.68,0.99,0.32,1.36,24.19,0.04,
2016-03-31,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18748624810.0,8653.43,0.31,1.55,0.37,2.3,30.44,0.04,
2016-03-31,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522.0,22570.89,0.81,1.38,0.38,2.18,25.93,0.05,
2016-03-31,COALINDIA,Coal India Ltd.,MINING,63163644000.0,36881.25,1.33,0.85,0.22,2.0,-6.13,0.03,
2016-03-31,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1606748564.0,25911.11,0.93,0.98,0.36,1.45,-0.43,0.03,
2016-03-31,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2163870822.0,62089.03,2.24,0.58,0.18,1.47,4.71,0.02,
2016-03-31,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2064985760.0,11260.16,0.41,1.64,0.41,3.55,27.93,0.04,
2016-03-31,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000.0,37057.83,1.34,0.85,0.32,1.92,17.83,0.02,
2016-03-31,HDFCBANK,HDFC Bank Ltd.,BANKS,5052186234.0,211054.32,7.61,0.8,0.63,0.82,10.22,0.04,
2016-03-31,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3157781670.0,174562.17,6.3,1.15,0.5,1.74,4.27,0.02,
2016-03-31,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,933317800.0,24755.91,0.89,0.73,0.42,1.09,15.52,0.04,
2016-03-31,GAIL,GAIL (India) Ltd.,GAS,12684774000.0,16727.16,0.6,1.17,0.32,2.23,16.8,0.03,
2016-03-31,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853038265.0,38319.3,1.38,0.78,0.16,2.07,-0.03,0.03,
2016-03-31,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2819692548.0,45910.23,1.66,0.82,0.22,1.4,0.1,0.02,
2016-09-30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600.0,46111.1,1.46,1.12,0.28,1.7,8.61,0.03,
2016-09-30,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5964716540.0,59208.07,1.87,0.95,0.42,1.47,0.82,0.03,
2016-09-30,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,11484723320.0,207038.21,6.54,0.87,0.27,0.95,0.02,0.02,
2016-09-30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9179988890.0,89873.93,2.84,0.92,0.4,0.84,-3.71,0.02,
